id_cliente;nombre;sexo;fecha_nacimiento;edad;distrito;fecha_alta;segmento_programa;ingresos_mensuales_aprox
CLI00105;Dario Bellido Sainz;M;2005-12-25;20;Los Olivos;2024-09-26 00:00:00;Premium;7057.6
CLI00106;Silvia Arnau Abascal;F;1967-02-15;59;Comas;2024-04-18 00:00:00;Regular;7566.56
CLI00107;Priscila Concha Porras Sevilla;M;1954-12-03;71;;2024-08-03 00:00:00;Premium;5190.98
CLI00108;Eric Simo Zurita;F;1972-11-26;53;Miraflores;2024-06-21 00:00:00;Regular;8183.0
CLI00109;Fidel Baldomero Salinas Fabregat;M;2003-10-24;22;Comas;2025-02-12 00:00:00;Basico;2509.95
CLI00110;Maria Carrera Aramburu;F;1969-01-20;57;Miraflores;2024-11-02 00:00:00;Regular;5870.23
CLI00111;Cayetana Franco Escribano;F;1968-11-25;57;Los Olivos;2025-04-19 00:00:00;Regular;7930.74
CLI00112;Esteban de Casanova;F;1968-02-19;58;Miraflores;2024-03-21 00:00:00;Premium;6555.61
CLI00113;Dani Rojas Velazquez;M;1980-08-28;45;Comas;2024-06-22 00:00:00;Regular;9468.51
CLI00114;Florinda Nayara Llorente Nogueira;F;1972-09-19;53;San Miguel;2024-02-11 00:00:00;Basico;2778.57
CLI00115;Macaria Benigna Montalban Baeza;F;1990-05-01;36;Ate;2025-02-02 00:00:00;Regular;3073.7
CLI00116;Tiburcio Bru Verdu;M;1963-12-16;62;Miraflores;2024-11-06 00:00:00;Platino;6072.62
CLI00117;Lucila Taboada;F;1969-09-11;56;Santiago de Surco;2024-06-30 00:00:00;Premium;10818.74
CLI00118;Severiano Colomer Gallo;F;1983-02-03;43;Ate;2024-08-09 00:00:00;Basico;1422.36
CLI00119;Samanta del Cases;M;1981-04-01;45;Comas;2024-07-02 00:00:00;Platino;10580.08
CLI00120;Vasco Manuel Cabrera;M;1994-05-07;32;San Miguel;2025-03-07 00:00:00;Regular;4742.51
CLI00121;Leonel Mateu Soler;F;1959-11-04;66;San Borja;2024-06-01 00:00:00;Premium;3338.35
CLI00122;Tristan Blazquez;F;1982-10-21;43;Santiago de Surco;2025-01-08 00:00:00;Platino;5250.12
CLI00123;Casemiro Amores Costa;M;1985-04-30;41;San Borja;2024-01-12 00:00:00;Platino;11243.04
CLI00124;Pili Osuna;M;1969-04-12;57;Comas;2024-08-21 00:00:00;Regular;4214.35
CLI00125;German Reinaldo Alvarado Julia;M;2008-04-23;18;Ate;2024-09-08 00:00:00;Platino;3692.9
CLI00126;Jacinto Abellan Montalban;F;1979-06-08;47;Los Olivos;2024-10-20 00:00:00;Basico;2756.35
CLI00127;Pascual Joel Santiago Mercader;M;1981-06-04;45;Los Olivos;2025-01-01 00:00:00;Premium;5372.6
CLI00128;Albano Aragones Blazquez;M;1980-06-18;46;Miraflores;2024-07-25 00:00:00;Regular;9682.3
CLI00129;Jose Manuel Mendez Robledo;F;1986-11-17;39;Santiago de Surco;2024-06-23 00:00:00;Regular;3746.06
CLI00130;Jeremias Lucas-Blazquez;F;1968-11-01;57;Magdalena;2024-12-23 00:00:00;Premium;3045.86
CLI00131;Teresita Bejarano Amat;F;2000-06-08;26;San Juan de Lurigancho;2024-02-18 00:00:00;Platino;7229.09
CLI00132;Pia Alcazar Jove;M;1976-06-27;50;Santiago de Surco;2024-01-16 00:00:00;Regular;4603.69
CLI00133;Roque Zorrilla Bauza;F;1961-08-21;64;Los Olivos;2024-08-01 00:00:00;Basico;2403.26
CLI00134;Sebastian Miranda Cal;M;1982-01-09;44;San Borja;2025-02-22 00:00:00;Premium;3963.34
CLI00135;Irene Calvet Mugica;M;1991-05-20;35;San Juan de Lurigancho;2025-02-11 00:00:00;Regular;4938.98
CLI00136;Alba Albero;F;1959-10-07;66;Comas;2024-10-15 00:00:00;Premium;4653.39
CLI00137;Xavier Aramburu Gras;F;1961-07-19;64;San Miguel;2024-11-06 00:00:00;Regular;7387.08
CLI00138;Diana Oliveras Peral;M;1997-08-22;28;San Juan de Lurigancho;2024-09-13 00:00:00;Premium;7582.38
CLI00139;Anastasia de Bas;M;1978-02-10;48;San Miguel;2025-02-17 00:00:00;Regular;4988.76
CLI00140;Sosimo del Sandoval;M;1971-05-02;55;San Miguel;2024-04-05 00:00:00;Platino;6009.86
CLI00141;Leticia Arregui Arino;M;2004-08-16;21;Comas;2024-07-14 00:00:00;Basico;1384.78
CLI00142;Anna Espada Cruz;F;1955-12-15;70;Los Olivos;2024-07-29 00:00:00;Regular;7553.0
CLI00143;Lourdes Gascon-Hierro;M;1990-03-12;36;Miraflores;2024-06-08 00:00:00;Regular;8958.86
CLI00144;Dimas Madrid;M;1980-11-30;45;San Borja;2025/Dic/12;Platino;9079.63
CLI00145;Blas Oliva Sastre;M;1982-02-10;44;Los Olivos;2024-07-16 00:00:00;Premium;11109.56
CLI00146;Isabel Ugarte Abellan;M;1956-05-17;70;San Borja;2024-01-31 00:00:00;Platino;4596.91
CLI00147;Marcio Benigno Palomino Figueroa;F;1967-09-04;58;Los Olivos;2024-03-18 00:00:00;Regular;3872.6
CLI00148;Rodrigo Tomas Colom Enriquez;M;1965-10-07;60;Santiago de Surco;2024-04-09 00:00:00;Premium;8261.91
CLI00149;Toni Guillen Iniguez;F;1956-03-02;70;Ate;2024-03-27 00:00:00;Platino;8997.77
CLI00150;Juan Antonio Aragon Vara;M;1988-08-18;37;San Borja;2024-11-23 00:00:00;Premium;10187.88
CLI00151;Maxi Campo Exposito;F;1991-10-08;34;Magdalena;2025-03-15 00:00:00;Basico;2448.59
CLI00152;Jordan Sedano Villalonga;F;1979-05-26;47;Comas;2025-02-05 00:00:00;Regular;4442.38
CLI00153;Danilo Barral-Rozas;M;1999-11-20;26;San Miguel;2024-10-19 00:00:00;Basico;2229.67
CLI00154;Erasmo del Menendez;F;1992-08-28;33;;2024-10-21 00:00:00;Platino;6355.11
CLI00155;Felix del Roldan;F;1989-10-10;36;Comas;2024-07-14 00:00:00;Platino;3333.6
CLI00156;Walter Fuentes Frias;M;1999-02-15;27;Magdalena;2024-08-06 00:00:00;Platino;9484.12
CLI00157;Poncio Valenciano;F;1973-02-22;53;Los Olivos;2024-06-16 00:00:00;Regular;7919.4
CLI00158;Serafina Morell Conde;M;1959-09-11;66;Comas;2024-01-19 00:00:00;Premium;7317.84
CLI00159;Nadia Paez Baron;F;1963-12-11;62;Magdalena;2024-07-13 00:00:00;Platino;6784.16
CLI00160;Rene Cobos Saenz;M;1989-03-11;37;San Borja;2024-12-04 00:00:00;Regular;9015.33
CLI00161;Loreto Vidal;M;1990-09-18;35;San Miguel;2024-11-18 00:00:00;Basico;2736.44
CLI00162;Jose Antonio Jimenez Abril;F;1972-12-06;53;Ate;2024-10-01 00:00:00;Premium;5125.49
CLI00163;Jose Maria Sevilla Armas;M;1957-06-14;69;San Juan de Lurigancho;2024-08-23 00:00:00;Basico;1975.45
CLI00164;Benigno de Canizares;F;1966-03-09;60;Los Olivos;2024-09-25 00:00:00;Basico;2298.82
CLI00165;Dani Pons Zabaleta;M;1989-09-11;36;San Miguel;2024-05-31 00:00:00;Premium;4356.61
CLI00166;Leonardo Novoa Frutos;F;1961-12-28;64;Ate;2024-01-29 00:00:00;Regular;9782.63
CLI00167;Miguel Angel Lobo-Millan;F;1999-08-10;26;San Juan de Lurigancho;2024-04-14 00:00:00;Basico;2067.57
CLI00168;Patricio Goni;M;1994-01-05;32;Comas;2024-05-19 00:00:00;Regular;7023.51
CLI00169;Amanda Isern Alba;F;1971-01-30;55;Ate;2024-04-02 00:00:00;Premium;5233.74
CLI00170;Candida Saez;M;1983-07-24;42;Magdalena;2024-12-31 00:00:00;Premium;7610.13
CLI00171;Ignacia Moran Pellicer;M;1999-04-05;27;San Borja;2024-08-28 00:00:00;Premium;9292.06
CLI00172;Arsenio Priego Sanchez;M;1987-03-25;39;San Miguel;2024-05-06 00:00:00;Premium;4589.42
CLI00173;Eloy Casares Benavente;F;2000-06-21;26;San Miguel;2024-12-21 00:00:00;Basico;1909.71
CLI00174;Alfredo Cerezo Gonzalez;F;2001-11-04;24;Ate;2025-03-29 00:00:00;Basico;2409.11
CLI00175;Manu Alvarez Galvan;F;1971-08-06;54;Magdalena;2024-08-24 00:00:00;Platino;10621.39
CLI00176;Fito Heras Arribas;M;1986-02-17;40;San Miguel;2024-10-20 00:00:00;Premium;3257.99
CLI00177;Crescencia Cervantes Prado;F;2000-05-22;26;Comas;2024-08-23 00:00:00;Regular;6736.45
CLI00178;Jeremias Iniesta Frutos;F;1989-07-12;36;Santiago de Surco;2024-12-04 00:00:00;Premium;4875.81
CLI00179;Feliciano Prado Bejarano;F;1967-03-23;59;San Juan de Lurigancho;2024-04-27 00:00:00;Regular;10653.99
CLI00180;Isaura Roig Rico;M;1972-08-28;53;San Juan de Lurigancho;2024-06-04 00:00:00;Regular;10662.75
CLI00181;Beatriz de Vall;F;1980-08-07;45;Comas;2025-02-14 00:00:00;Platino;11060.03
CLI00182;Olalla Delfina Mir Bustos;F;1987-09-09;38;San Borja;2024-08-03 00:00:00;Basico;1072.77
CLI00183;Susanita de Fajardo;F;1988-11-13;37;Santiago de Surco;2025-01-18 00:00:00;Regular;5782.75
CLI00184;Vicente Vaquero Arnal;M;1962-12-05;63;San Juan de Lurigancho;15/01/2024;Premium;9415.72
CLI00185;Zaira Dieguez Rius;M;1987-08-13;38;Ate;2024-11-15 00:00:00;Platino;9286.08
CLI00186;Amarilis Guardia Cordero;M;1992-09-09;33;San Borja;2024-02-03 00:00:00;Basico;2180.64
CLI00187;Eutropio Saenz-Luis;M;1961-08-12;64;San Miguel;2024-08-25 00:00:00;Platino;5261.47
CLI00188;Fernando Benavent Granados;M;1993-03-20;33;Santiago de Surco;2024-03-13 00:00:00;Regular;9809.74
CLI00189;Jenny Verdejo-Girona;M;1965-06-07;61;Los Olivos;2024-02-27 00:00:00;Premium;4152.43
CLI00190;Adrian Nicanor Garzon Piquer;M;1969-09-17;56;Santiago de Surco;2024-02-16 00:00:00;Platino;7018.82
CLI00191;Azahara de Botella;F;1985-01-09;41;Santiago de Surco;2025-03-28 00:00:00;Basico;2487.86
CLI00192;Graciana Toledo Valles;F;1977-09-04;48;San Miguel;2024-02-10 00:00:00;Basico;1638.36
CLI00193;Clementina Cepeda Bolanos;M;1954-06-22;72;San Borja;2024-05-01 00:00:00;Premium;4786.43
CLI00194;Bernarda Prado;F;1955-12-07;70;Santiago de Surco;2024-10-09 00:00:00;Platino;2912.81
CLI00195;Noa Villalobos Vicente;M;1998-12-15;27;Los Olivos;2024-04-11 00:00:00;Premium;9857.78
CLI00196;Otilia de Sarabia;F;1968-05-22;58;Comas;2024-10-16 00:00:00;Basico;1559.05
CLI00197;Arturo del Montserrat;M;1954-06-27;72;Magdalena;2024-06-14 00:00:00;Regular;3910.31
CLI00198;Venceslas Blanco Perales;M;1979-04-14;47;San Miguel;2024-02-01 00:00:00;Platino;9102.48
CLI00199;Cesar Arjona Ariza;M;1982-07-30;43;Miraflores;2024-11-06 00:00:00;Premium;6449.55
CLI00200;Berto de Campoy;M;1996-07-07;29;San Juan de Lurigancho;2024-09-03 00:00:00;Platino;8777.17
CLI00201;Efrain Tamarit Rosado;M;1991-03-17;35;Magdalena;2024-02-17 00:00:00;Regular;4776.6
CLI00202;Marcela del Dieguez;M;1999-03-19;27;Santiago de Surco;2024-10-30 00:00:00;Platino;5540.53
CLI00203;Renata Estevez Cerro;F;1973-03-19;53;San Juan de Lurigancho;2024-12-22 00:00:00;Premium;6494.91
CLI00204;Clemente Caparros Villalobos;F;1968-05-17;58;San Borja;2024-12-11 00:00:00;Premium;4213.06
CLI00205;Josefina Soria Moran;M;1965-08-31;60;Magdalena;2024-03-19 00:00:00;Premium;5023.56
CLI00206;Feliciano Mur Pla;M;1968-03-27;58;Miraflores;21/09/2024;Basico;1672.89
CLI00207;Vicente Aliaga Sainz;F;1953-03-03;73;Santiago de Surco;2024-12-23 00:00:00;Platino;10689.08
CLI00208;Andres Zurita Salas;M;1974-09-29;51;;2024-11-24 00:00:00;Platino;6356.63
CLI00209;Begona de Molins;F;1981-08-28;44;Comas;2024-12-05 00:00:00;Basico;1868.72
CLI00210;Petrona Melisa Ropero Fabra;F;1964-03-30;62;Magdalena;2024-09-23 00:00:00;Basico;2479.62
CLI00211;Gabino Arribas Colom;F;1953-12-04;72;San Juan de Lurigancho;2025-04-18 00:00:00;Basico;2558.19
CLI00212;Pepe Felix Jauregui Bauza;F;1981-08-10;44;San Borja;2024-03-08 00:00:00;Platino;3279.73
CLI00213;Dalila del Valenzuela;F;1967-07-30;58;;2025-03-27 00:00:00;Regular;2931.77
CLI00214;Marcelo Alarcon Alsina;F;1965-05-01;61;Miraflores;2024-12-23 00:00:00;Premium;4823.36
CLI00215;Maria Valverde Pardo;F;1970-07-17;55;San Miguel;2025-04-19 00:00:00;Basico;1832.73
CLI00216;Yesica de Pozuelo;M;1964-01-29;62;Miraflores;2024-05-09 00:00:00;Basico;1817.51
CLI00217;Pepe Vall Soriano;M;1987-06-10;39;Santiago de Surco;2024-01-27 00:00:00;Basico;1296.48
CLI00218;Mariana Fuertes Varela;M;1985-03-04;41;Miraflores;2024-04-17 00:00:00;Basico;1408.84
CLI00219;Nadia Cabanas Quero;F;1984-06-14;42;Comas;2024-08-29 00:00:00;Regular;7698.97
CLI00220;Victor Campo Esteve;F;2002-08-15;23;Miraflores;2024-09-07 00:00:00;Regular;10587.52
CLI00221;Gertrudis Coca Marin;F;1971-07-26;54;Ate;2025-02-20 00:00:00;Platino;5093.58
CLI00222;Lucho Madrid Manrique;F;1957-11-14;68;Miraflores;2025-04-19 00:00:00;Platino;7756.62
CLI00223;Maricela Echeverria Rosales;F;1972-01-22;54;Los Olivos;2024-02-21 00:00:00;Platino;9326.29
CLI00224;Evita Llobet Garcia;M;1960-08-15;65;Santiago de Surco;2024-03-15 00:00:00;Platino;8981.42
CLI00225;Flavio de Acuna;M;1957-05-30;69;San Juan de Lurigancho;2024-08-30 00:00:00;Premium;5678.71
CLI00226;Jose Francisco Bonifacio Nicolau Soto;F;1969-09-14;56;Ate;2024-07-18 00:00:00;Platino;11318.92
CLI00227;Lucio Pedrero;M;1996-08-18;29;Los Olivos;2025-01-13 00:00:00;Platino;9947.84
CLI00228;Emma Gimeno-Nadal;M;2005-12-09;20;San Juan de Lurigancho;2025-01-10 00:00:00;Platino;10030.62
CLI00229;Xavier Salomon Salgado Bermudez;M;2001-08-15;24;Ate;2024-06-14 00:00:00;Basico;2026.66
CLI00230;Eladio Cabo Maldonado;M;1960-08-17;65;San Borja;2024-12-26 00:00:00;Premium;7106.14
CLI00231;Jose Ignacio Bertran;F;1976-08-24;49;Ate;2025-02-12 00:00:00;Platino;5049.88
CLI00232;Jose Angel Cerro-Pino;M;1990-10-08;35;Magdalena;2024-04-18 00:00:00;Regular;9254.85
CLI00233;Inigo Aroca Arana;M;1969-10-14;56;Los Olivos;2025-02-15 00:00:00;Premium;6117.83
CLI00234;Emperatriz Eli Cortina Anton;M;1991-02-22;35;San Borja;2025-04-17 00:00:00;Premium;6151.45
CLI00235;Carina Marquez;M;1954-09-17;71;Miraflores;2024-04-13 00:00:00;Premium;6531.53
CLI00236;Maximiano Iglesia Amador;M;1970-02-23;56;Santiago de Surco;2024-09-15 00:00:00;Regular;10829.67
CLI00237;Iker Uriarte-Arregui;M;1999-01-28;27;Los Olivos;2025-02-27 00:00:00;Basico;2582.07
